symbol,name
GAU,Galiano Gold Inc
GEO,Geodrill Limited
GMO,General Moly Inc
GLO,Global Atomic Corp
GDL,Goodfellow Inc
GLG,Glg Life Tech Corp
GSV,Gold Standard Ventures Corp
GTE,Gran Tierra Energy Inc
HAL,Horizons Active CDN Dividend ETF
HBM,Hudbay Minerals Inc
HDGE,Accelerate Absolute Return Hdg Fund ETF
HEP,Horizons Enhanced Income Gold Prod ETF
HIX,Betapro S&P TSX 60 Daily Inverse ETF
HBP,Helix Biopharm
HEXO,Hexo Corp
HPR,Horizons Active Pref Share ETF
HRAA,Horizons Resolve Adptv Asset Alloc ETF
HYI,Horizons Active High Yield Bond ETF
DBO,Dbox Technologies Inc
DCP,Desjardins CDN Pref Share ETF
DS,Dividend Select 15 Corp
DXF,Dynamic Ishares Act Global Fin Ser ETF
DIV,Diversified Royalty Corp
BB,Blackberry Limited
BFIN,Brompton Na Financials Dividend ETF
BLCK,First Trust Indxx Innov Trans Proc ETF
BLU,Bellus Health Inc
BLX,Boralex Inc
BRY,Bri Chem Corp
BTE,Baytex Energy Corp
ERF,Enerplus Corp
ESI,Ensign Energy Services Inc
ETG,Entree Resources Ltd
EARN,Evolve Active Global Fixed Income ETF
EDGE,Evolve Innovation Index ETF
EFL,Electrovaya Inc
EFR,Energy Fuels Inc
EGIF,Exemplar Growth and Income Fund ETF
EOX,Euromax Resources Ltd
EQX,Equinox Gold Corp
AGI,Alamos Gold Inc Cls A
AEZS,Aeterna Zentaris Inc
AIM,Aimia Inc
AND,Andlauer Healthcare Group Inc
AR,Argonaut Gold Inc
ASM,Avino Silver and Gold Mines Ltd
AT,Acuityads Holdings Inc
ACB,Aurora Cannabis Inc
AHC,Apollo Healthcare Corp.
AI,Atrium Mortgage Investment Corp
AJX,Agjunction Inc
APHA,Aphria Inc
APY,Anglo Pacific Group Plc
AUG,Auryn Resources Inc
AXU,Alexco Resource Corp
III,Imperial Metals Corp
IPCI,Intellipharmaceutics International Inc
ITP,Intertape Polymer
IAG,Industrial Alliance Ins & Fin Srv Inc
IMO,Imperial Oil
IMV,Imv Inc.
FHB,CI First Asset European Bank ETF
FLDM,Franklin Libertyqt Intl Eqt Index ETF
FF,First Mining Gold Corp
