name,symbol,price,day,time,date,minute
Gold Standard Ventures Corp,GSV,0.7336,Thursday,12:40,20200924,1239
Goodfellow Inc,GDL,8.4,Thursday,12:40,20200924,1239
Glg Life Tech Corp,GLG,2.385,Thursday,12:40,20200924,1239
Galiano Gold Inc,GAU,1.365,Thursday,12:40,20200924,1239
Global Atomic Corp,GLO,9.01,Thursday,12:40,20200924,1239
Gran Tierra Energy Inc,GTE,0.2502,Thursday,12:40,20200924,1239
Horizons Active CDN Dividend ETF,HAL,12.35,Thursday,12:40,20200924,1239
Accelerate Absolute Return Hdg Fund ETF,HDGE,4.589,Thursday,12:40,20200924,1239
Hudbay Minerals Inc,HBM,3.905,Thursday,12:40,20200924,1239
Geodrill Limited,GEO,10.71,Thursday,12:40,20200924,1239
Betapro S&P TSX 60 Daily Inverse ETF,HIX,6.45,Thursday,12:40,20200924,1239
Hexo Corp,HEXO,0.6478,Thursday,12:40,20200924,1239
Horizons Active Pref Share ETF,HPR,0.2555,Thursday,12:40,20200924,1239
Helix Biopharm,HBP,2.14,Thursday,12:40,20200924,1239
Horizons Enhanced Income Gold Prod ETF,HEP,12.55,Thursday,12:40,20200924,1239
General Moly Inc,GMO,0.1169,Thursday,12:40,20200924,1239
Horizons Active High Yield Bond ETF,HYI,14.0,Thursday,12:40,20200924,1239
Horizons Resolve Adptv Asset Alloc ETF,HRAA,0.0061,Thursday,12:40,20200924,1239
Dbox Technologies Inc,DBO,7.18,Thursday,12:40,20200924,1239
Dividend Select 15 Corp,DS,1.19,Thursday,12:40,20200924,1239
Desjardins CDN Pref Share ETF,DCP,10.12,Thursday,12:40,20200924,1239
Blackberry Limited,BB,5.05,Thursday,12:40,20200924,1239
Diversified Royalty Corp,DIV,14.65,Thursday,12:40,20200924,1239
Bellus Health Inc,BLU,2.16,Thursday,12:40,20200924,1239
Brompton Na Financials Dividend ETF,BFIN,7.04,Thursday,12:40,20200924,1239
Boralex Inc,BLX,12.13,Thursday,12:40,20200924,1239
First Trust Indxx Innov Trans Proc ETF,BLCK,1.1,Thursday,12:40,20200924,1239
